"Step","Group: cheetah-run-il-tdmpc-M0-1 - eval/episode_reward+cheetah-run","Group: cheetah-run-il-tdmpc-M0-1 - eval/episode_reward+cheetah-run__MIN","Group: cheetah-run-il-tdmpc-M0-1 - eval/episode_reward+cheetah-run__MAX","Group: cheetah-run-il-tap - eval/episode_reward+cheetah-run","Group: cheetah-run-il-tap - eval/episode_reward+cheetah-run__MIN","Group: cheetah-run-il-tap - eval/episode_reward+cheetah-run__MAX","Group: cheetah-run-il-tdmpc - eval/episode_reward+cheetah-run","Group: cheetah-run-il-tdmpc - eval/episode_reward+cheetah-run__MIN","Group: cheetah-run-il-tdmpc - eval/episode_reward+cheetah-run__MAX","Group: cheetah-run-il-fac1-N6 - eval/episode_reward+cheetah-run","Group: cheetah-run-il-fac1-N6 - eval/episode_reward+cheetah-run__MIN","Group: cheetah-run-il-fac1-N6 - eval/episode_reward+cheetah-run__MAX"
"0","4.362927834192912","3.340275526046753","5.041159152984619","0.4272916664679845","0.15468589961528778","0.6144880056381226","3.630019187927246","3.153319835662842","4.097513198852539","0.9673872987429301","0.875647246837616","1.0969822406768799"
"50000","896.6797078450521","896.3937377929688","897.0241088867188","607.1288452148438","396.42340087890625","878.7551879882812","914.6968383789062","914.1583862304688","915.6929931640625","911.3282267252604","907.7208251953125","913.6781005859375"
"100000","908.9063517252604","902.6915893554688","912.6295166015625","871.3699137369791","821.5220947265625","903.4117431640625","913.6700032552084","912.3460083007812","914.8294067382812","909.9032796223959","904.2262573242188","914.88916015625"
"150000","827.5930989583334","738.2177734375","910.0623168945312","892.4514363606771","890.3720703125","893.6806640625","915.4563802083334","914.5279541015625","916.61328125","913.4399617513021","909.3612060546875","916.8952026367188"
"200000","875.9744262695312","809.0435180664062","910.0504760742188","897.02197265625","884.9595947265625","908.2030029296875","914.0888875325521","912.6731567382812","915.9962158203125","915.8143107096354","914.2835083007812","917.0784912109375"
"250000","909.0872599283854","905.0494384765625","914.9483642578125","893.6309000651041","885.7752075195312","905.2000122070312","914.703369140625","914.4903564453125","915.0611572265625","915.6194661458334","913.2529296875","919.52001953125"
"300000","884.3526000976562","827.79541015625","913.2516479492188","900.8278605143229","890.9876708984375","909.3670043945312","915.3186645507812","914.5223388671875","916.5198974609375","917.2537434895834","915.8590087890625","919.5072021484375"
"350000","912.2694702148438","907.4923095703125","917.5256958007812","868.1788330078125","803.5405883789062","907.2404174804688","914.5261027018229","913.3650512695312","916.2181396484375","916.0704752604166","914.69482421875","918.7552490234375"
"400000","910.0926106770834","902.9576416015625","914.90185546875","863.7479654947916","806.8173828125","899.0328369140625","913.6221923828125","913.1458129882812","913.9186401367188","915.8056437174479","913.3511962890625","917.4348754882812"
"450000","886.4974772135416","829.0833129882812","917.1998291015625","873.0963338216146","804.6744995117188","911.7923583984375","914.5825398763021","914.0027465820312","915.0023193359375","917.5935872395834","915.1524658203125","920.5364990234375"
"500000","915.9289754231771","913.0478515625","917.6100463867188","909.493896484375","906.8299560546875","912.0465698242188","914.8117065429688","914.0979614257812","915.2257080078125","916.7125651041666","914.2474365234375","919.3308715820312"
