"Step","Group: fish-swim-il-tap - eval/episode_reward+fish-swim","Group: fish-swim-il-tap - eval/episode_reward+fish-swim__MIN","Group: fish-swim-il-tap - eval/episode_reward+fish-swim__MAX","Group: fish-swim-il-tdmpc-M0-1 - eval/episode_reward+fish-swim","Group: fish-swim-il-tdmpc-M0-1 - eval/episode_reward+fish-swim__MIN","Group: fish-swim-il-tdmpc-M0-1 - eval/episode_reward+fish-swim__MAX","Group: fish-swim-il-tdmpc - eval/episode_reward+fish-swim","Group: fish-swim-il-tdmpc - eval/episode_reward+fish-swim__MIN","Group: fish-swim-il-tdmpc - eval/episode_reward+fish-swim__MAX","Group: fish-swim-il-fac-N5 - eval/episode_reward+fish-swim","Group: fish-swim-il-fac-N5 - eval/episode_reward+fish-swim__MIN","Group: fish-swim-il-fac-N5 - eval/episode_reward+fish-swim__MAX"
"0","113.81673431396484","49.509376525878906","147.82334899902344","61.12614440917969","55.15656661987305","66.36543273925781","81.35710144042969","58.023338317871094","101.12910461425781","72.93875217437744","33.2709846496582","140.7003173828125"
"50000","103.9104487101237","76.72091674804688","147.30909729003906","556.7277018229166","533.8206787109375","568.5082397460938","611.4356079101562","509.43536376953125","706.939697265625","525.0543975830078","442.519287109375","645.8223876953125"
"100000","162.26441446940103","55.25921630859375","278.74444580078125","631.2789713541666","624.5878295898438","643.5921630859375","583.0369567871094","459.8241271972656","656.8878784179688","489.4743957519531","312.881103515625","583.1958618164062"
"150000","174.21691385904947","114.48974609375","210.0096435546875","490.85792032877606","398.3686218261719","583.447265625","557.0295206705729","431.08782958984375","664.2418212890625","438.8568572998047","291.9202880859375","574.6033325195312"
"200000","233.25171407063803","147.50848388671875","364.7323303222656","627.9811197916666","552.9930419921875","742.04296875","686.6589762369791","650.26025390625","726.6048583984375","487.54862213134766","317.1329040527344","572.8436279296875"
"250000","289.0459493001302","248.2760009765625","346.563720703125","496.6868896484375","426.72991943359375","586.620361328125","566.0997111002604","519.6630249023438","593.7947998046875","463.4052734375","350.8868408203125","553.0992431640625"
"300000","292.3234507242839","70.09675598144531","433.67523193359375","548.1341756184896","482.003662109375","630.9356079101562","645.2852986653646","526.6014404296875","756.9886474609375","451.7960205078125","313.4668273925781","613.2819213867188"
"350000","250.21428426106772","179.94577026367188","289.3992919921875","442.9104512532552","417.0826721191406","468.70404052734375","606.8377482096354","558.988525390625","694.625732421875","525.0960006713867","336.9778747558594","695.5654907226562"
"400000","183.16752115885416","137.8141326904297","239.11630249023438","549.1498107910156","458.4878845214844","609.1602783203125","657.7027994791666","623.9891357421875","689.6527709960938","602.2522277832031","557.8348999023438","665.400146484375"
"450000","254.34503682454428","151.7158966064453","327.94781494140625","560.5050862630209","468.57244873046875","606.5145263671875","568.5371704101562","489.57861328125","626.8123779296875","416.47735595703125","302.700927734375","618.7994384765625"
"500000","169.36493428548178","77.0567855834961","326.9833679199219","668.0725708007812","608.1941528320312","785.516357421875","617.7255249023438","537.1151733398438","677.65185546875","528.6372222900391","403.58953857421875","653.1531372070312"
