"Step","Group: hopper-hop-il-tdmpc-M0-1 - eval/episode_reward+hopper-hop","Group: hopper-hop-il-tdmpc-M0-1 - eval/episode_reward+hopper-hop__MIN","Group: hopper-hop-il-tdmpc-M0-1 - eval/episode_reward+hopper-hop__MAX","Group: hopper-hop-il-tdmpc - eval/episode_reward+hopper-hop","Group: hopper-hop-il-tdmpc - eval/episode_reward+hopper-hop__MIN","Group: hopper-hop-il-tdmpc - eval/episode_reward+hopper-hop__MAX","Group: hopper-hop-il-tap - eval/episode_reward+hopper-hop","Group: hopper-hop-il-tap - eval/episode_reward+hopper-hop__MIN","Group: hopper-hop-il-tap - eval/episode_reward+hopper-hop__MAX","Group: hopper-hop-il-fac-N4 - eval/episode_reward+hopper-hop","Group: hopper-hop-il-fac-N4 - eval/episode_reward+hopper-hop__MIN","Group: hopper-hop-il-fac-N4 - eval/episode_reward+hopper-hop__MAX"
"0","0.5660298029736927","0.0037365437019616365","0.9266327619552612","0.18796273569266","0","0.4932311475276947","0.005477836382406546","3.0118874860818323e-7","0.016171395778656006","0.4424111626576632","0.00116103352047503","1.1144617795944214"
"50000","182.28702799479166","166.19619750976562","191.06089782714844","350.8350524902344","345.5928955078125","355.0369567871094","283.482666015625","245.9703369140625","327.62420654296875","309.19629923502606","276.26702880859375","342.33990478515625"
"100000","314.46387736002606","270.78021240234375","337.68133544921875","352.65305582682294","349.03692626953125","355.88739013671875","269.0754903157552","226.90963745117188","317.61962890625","346.46173095703125","338.89654541015625","350.8795166015625"
"150000","316.2308654785156","305.5160827636719","333.42584228515625","351.7664489746094","349.91925048828125","354.0260314941406","295.97144571940106","263.6796569824219","328.97021484375","336.05544026692706","310.25341796875","350.7495422363281"
"200000","287.82891845703125","233.90682983398438","330.92022705078125","352.95701090494794","351.5155334472656","354.8096008300781","307.34900919596356","294.7139587402344","322.7294921875","351.4009602864583","348.4169921875","356.4075622558594"
"250000","310.21205647786456","277.20904541015625","342.86138916015625","354.68271891276044","352.34124755859375","356.63470458984375","317.7145690917969","300.7362976074219","333.6590270996094","340.2834065755208","320.01177978515625","351.75616455078125"
"300000","324.30841064453125","309.99700927734375","334.2748718261719","354.3908386230469","352.9061584472656","357.0561828613281","302.3163096110026","231.6580047607422","342.0091857910156","346.74542236328125","342.71661376953125","348.8335876464844"
"350000","328.8342793782552","306.80230712890625","340.6816711425781","340.48829142252606","317.57208251953125","354.26348876953125","333.4332987467448","331.6673278808594","336.13653564453125","349.16656494140625","347.68157958984375","350.33880615234375"
"400000","324.43299357096356","275.84136962890625","349.1643371582031","353.69403076171875","352.33514404296875","355.984130859375","323.849609375","304.59942626953125","337.0876770019531","346.30246988932294","344.68524169921875","348.14483642578125"
"450000","341.97442626953125","330.92510986328125","347.617919921875","343.4371846516927","320.1477355957031","355.95416259765625","328.4019470214844","319.98284912109375","334.59869384765625","348.38242594401044","344.6322021484375","351.33203125"
"500000","309.22011311848956","299.8570861816406","316.68426513671875","341.17737833658856","320.3623046875","354.3194274902344","336.4887288411458","333.97723388671875","339.761474609375","349.2520345052083","344.3982849121094","353.2168884277344"
