"Step","Group: humanoid-stand-il-tdmpc - eval/episode_reward+humanoid-stand","Group: humanoid-stand-il-tdmpc - eval/episode_reward+humanoid-stand__MIN","Group: humanoid-stand-il-tdmpc - eval/episode_reward+humanoid-stand__MAX","Group: humanoid-stand-il-tdmpc-M0-1 - eval/episode_reward+humanoid-stand","Group: humanoid-stand-il-tdmpc-M0-1 - eval/episode_reward+humanoid-stand__MIN","Group: humanoid-stand-il-tdmpc-M0-1 - eval/episode_reward+humanoid-stand__MAX","Group: humanoid-stand-il-tap - eval/episode_reward+humanoid-stand","Group: humanoid-stand-il-tap - eval/episode_reward+humanoid-stand__MIN","Group: humanoid-stand-il-tap - eval/episode_reward+humanoid-stand__MAX","Group: humanoid-stand-il-fac1-N21-l50 - eval/episode_reward+humanoid-stand","Group: humanoid-stand-il-fac1-N21-l50 - eval/episode_reward+humanoid-stand__MIN","Group: humanoid-stand-il-fac1-N21-l50 - eval/episode_reward+humanoid-stand__MAX"
"0","4.948243697484334","3.7794125080108643","5.8863444328308105","3.6096932093302407","2.449573516845703","4.283879280090332","5.095365683237712","4.6722731590271","5.444918155670166","5.105276902516683","2.920318126678467","6.306510925292969"
"50000","750.2379557291666","725.1629028320312","777.2740478515625","275.0242004394531","272.0370178222656","277.3726501464844","339.76243082682294","318.7320251464844","375.16064453125","580.4571126302084","537.1390380859375","630.0928344726562"
"100000","765.6811930338541","759.1456298828125","778.50732421875","308.63275146484375","297.8534240722656","321.5396423339844","361.0530700683594","278.35113525390625","454.5304260253906","724.8101399739584","672.8052978515625","760.4378662109375"
"150000","787.3116048177084","761.5792846679688","836.4943237304688","379.2449442545573","354.6875915527344","392.2519836425781","434.2703857421875","350.0765686035156","504.95074462890625","761.0638020833334","732.1900024414062","789.6028442382812"
"200000","783.1590779622396","767.8013916015625","798.8299560546875","377.34559122721356","364.44598388671875","391.29296875","481.8678487141927","474.73223876953125","490.4774475097656","720.2562662760416","690.39453125","739.3077392578125"
"250000","825.0592447916666","802.08935546875","850.1774291992188","373.23468017578125","291.9434814453125","428.03955078125","448.03453572591144","388.4869384765625","501.34185791015625","740.5761515299479","684.0054931640625","798.5885620117188"
"300000","806.2510579427084","751.4129638671875","857.0950317382812","402.37987263997394","371.5585632324219","417.9830627441406","460.8000996907552","367.7976989746094","539.7922973632812","730.5397745768229","717.2557983398438","749.836669921875"
"350000","819.6934000651041","793.103759765625","838.3740234375","398.136474609375","352.7992858886719","440.65625","365.5679931640625","191.11666870117188","453.7152404785156","704.1754964192709","660.6839599609375","755.89990234375"
"400000","795.4941609700521","756.5611572265625","825.1412353515625","478.42449951171875","459.4501037597656","493.0020446777344","470.51526896158856","427.2709045410156","495.1969299316406","781.5517578125","759.0261840820312","820.9695434570312"
"450000","806.5117594401041","796.3280029296875","824.21142578125","449.4708251953125","395.4124450683594","495.94256591796875","461.8935546875","406.1731872558594","497.3372497558594","777.8594970703125","762.0697021484375","803.79833984375"
"500000","822.8383178710938","806.7440795898438","848.6409912109375","452.5169982910156","425.3763732910156","493.01202392578125","468.41794840494794","438.47369384765625","515.3986206054688","735.2393391927084","706.2935180664062","770.5556640625"
