"Step","Group: humanoid-walk-il-tdmpc - eval/episode_reward+humanoid-walk","Group: humanoid-walk-il-tdmpc - eval/episode_reward+humanoid-walk__MIN","Group: humanoid-walk-il-tdmpc - eval/episode_reward+humanoid-walk__MAX","Group: humanoid-walk-il-tdmpc-M0-1 - eval/episode_reward+humanoid-walk","Group: humanoid-walk-il-tdmpc-M0-1 - eval/episode_reward+humanoid-walk__MIN","Group: humanoid-walk-il-tdmpc-M0-1 - eval/episode_reward+humanoid-walk__MAX","Group: humanoid-walk-il-tap - eval/episode_reward+humanoid-walk","Group: humanoid-walk-il-tap - eval/episode_reward+humanoid-walk__MIN","Group: humanoid-walk-il-tap - eval/episode_reward+humanoid-walk__MAX","Group: humanoid-walk-il-fac1-N21-l50 - eval/episode_reward+humanoid-walk","Group: humanoid-walk-il-fac1-N21-l50 - eval/episode_reward+humanoid-walk__MIN","Group: humanoid-walk-il-fac1-N21-l50 - eval/episode_reward+humanoid-walk__MAX"
"0","1.1444708903630574","1.0217180252075195","1.308521032333374","1.0722224911053975","0.9412924647331238","1.1474727392196655","1.0048019289970398","0.904839813709259","1.1819988489151","1.2822434902191162","1.0767477750778198","1.5248503684997559"
"50000","630.6162109375","568.3917846679688","684.1353759765625","290.4325358072917","254.78756713867188","325.50347900390625","146.0111338297526","115.3216552734375","174.14718627929688","663.6956176757812","643.2867431640625","685.2275390625"
"100000","696.14599609375","681.71826171875","717.3009033203125","342.1641438802083","300.30389404296875","384.2234191894531","152.14535013834634","127.99043273925781","178.80050659179688","722.7287190755209","664.5572509765625","760.7984619140625"
"150000","708.9585571289062","700.7991943359375","715.7340087890625","389.17833455403644","342.52911376953125","427.80596923828125","218.9974822998047","141.84681701660156","371.35394287109375","767.4976399739584","753.3425903320312","774.7908935546875"
"200000","700.8860473632812","689.9144897460938","710.3555908203125","432.6294860839844","421.3763732910156","453.40802001953125","156.7912394205729","144.82814025878906","172.1285858154297","766.0203043619791","745.5023193359375","787.1993408203125"
"250000","693.8003743489584","661.7384033203125","725.36669921875","428.79052734375","387.351806640625","467.520263671875","219.95364379882812","173.28500366210938","250.90921020507812","788.7640787760416","777.1157836914062","797.5714111328125"
"300000","708.6613362630209","702.3121948242188","712.3611450195312","469.9639485677083","468.2265625","471.40765380859375","182.25218200683594","131.07420349121094","233.5037841796875","813.5898844401041","776.8284301757812","843.3679809570312"
"350000","695.6040445963541","667.03515625","711.6524658203125","461.93084716796875","447.3802795410156","487.8460388183594","234.8160196940104","215.5167694091797","258.86077880859375","798.2181599934896","779.1788330078125","813.2225341796875"
"400000","697.3656005859375","672.21630859375","712.6248779296875","450.3180643717448","415.27484130859375","469.11962890625","167.37407938639322","143.64566040039062","188.15159606933594","830.1107381184896","826.29345703125","833.9783325195312"
"450000","715.4802449544271","707.6612548828125","719.8424682617188","440.63014729817706","403.25634765625","460.08154296875","188.97781880696616","149.28765869140625","218.1031036376953","817.3538411458334","810.6227416992188","824.20703125"
"500000","724.0739949544271","704.9364013671875","755.0855712890625","458.1023864746094","408.19415283203125","526.6111450195312","226.56324768066406","194.9204559326172","286.0086975097656","788.9507649739584","766.470703125","806.4981079101562"
