"Step","Group: quadruped-run-il-tdmpc-M0-1 - eval/episode_reward+quadruped-run","Group: quadruped-run-il-tdmpc-M0-1 - eval/episode_reward+quadruped-run__MIN","Group: quadruped-run-il-tdmpc-M0-1 - eval/episode_reward+quadruped-run__MAX","Group: quadruped-run-il-tdmpc - eval/episode_reward+quadruped-run","Group: quadruped-run-il-tdmpc - eval/episode_reward+quadruped-run__MIN","Group: quadruped-run-il-tdmpc - eval/episode_reward+quadruped-run__MAX","Group: quadruped-run-il-tap - eval/episode_reward+quadruped-run","Group: quadruped-run-il-tap - eval/episode_reward+quadruped-run__MIN","Group: quadruped-run-il-tap - eval/episode_reward+quadruped-run__MAX","Group: quadruped-run-il-fac-N12-n20 - eval/episode_reward+quadruped-run","Group: quadruped-run-il-fac-N12-n20 - eval/episode_reward+quadruped-run__MIN","Group: quadruped-run-il-fac-N12-n20 - eval/episode_reward+quadruped-run__MAX"
"0","63.2206776936849","22.18193817138672","96.20108795166016","56.18231709798177","45.35698318481445","75.28987121582031","58.87934811909994","25.79547691345215","76.75921630859375","42.51235580444336","13.007072448730469","88.3283920288086"
"50000","779.4637451171875","768.66943359375","798.3397827148438","827.087158203125","759.288330078125","891.0558471679688","738.9627482096354","699.13916015625","771.0244750976562","891.3096516927084","853.3527221679688","923.4987182617188"
"100000","892.47900390625","878.7486572265625","901.9736328125","902.4618733723959","901.0241088867188","903.6018676757812","759.9246215820312","616.614013671875","839.9921875","852.5572306315104","832.9241943359375","878.0149536132812"
"150000","888.6620483398438","876.0386962890625","902.2913208007812","875.7706095377604","826.87158203125","900.4869384765625","865.7964070638021","851.1296997070312","888.9610595703125","904.6620483398438","882.5946044921875","918.6472778320312"
"200000","897.1092325846354","888.1396484375","904.0462646484375","899.5560099283854","896.5728759765625","903.1004028320312","827.0801188151041","816.7525634765625","838.9221801757812","871.0911051432291","804.2674560546875","915.7755126953125"
"250000","897.1739298502604","883.6898193359375","904.6783447265625","891.1342569986979","887.0037841796875","894.5223388671875","753.6082356770834","713.7144775390625","817.4082641601562","884.4824625651041","862.33349609375","913.498046875"
"300000","896.5344645182291","867.5286865234375","914.0921630859375","907.6357421875","900.2522583007812","914.6507568359375","820.6614379882812","756.9953002929688","872.6627197265625","816.3235677083334","703.0202026367188","890.1651611328125"
"350000","905.4230346679688","897.1673583984375","919.1053466796875","894.1244099934896","889.4484252929688","898.5494384765625","809.2816162109375","757.4989013671875","861.4488525390625","865.0654500325521","793.359619140625","909.4743041992188"
"400000","909.7698771158854","903.8465576171875","916.8875732421875","887.6822102864584","849.8878173828125","910.3279418945312","789.2036336263021","704.47216796875","849.0811767578125","865.7797037760416","838.3494873046875","909.5988159179688"
"450000","909.9283243815104","906.0999145507812","917.2024536132812","902.3311971028646","898.6871337890625","906.0660400390625","798.5526326497396","767.1798095703125","825.3056640625","864.2672119140625","844.7620849609375","875.8367309570312"
"500000","916.1178588867188","900.9918212890625","927.8438720703125","862.9743448893229","842.0302734375","901.9443359375","824.6920979817709","781.9174194335938","883.1565551757812","857.3700968424479","791.5650634765625","900.4205322265625"
