"Step","Group: quadruped-walk-il-tap - eval/episode_reward+quadruped-walk","Group: quadruped-walk-il-tap - eval/episode_reward+quadruped-walk__MIN","Group: quadruped-walk-il-tap - eval/episode_reward+quadruped-walk__MAX","Group: quadruped-walk-il-tdmpc-M0-1 - eval/episode_reward+quadruped-walk","Group: quadruped-walk-il-tdmpc-M0-1 - eval/episode_reward+quadruped-walk__MIN","Group: quadruped-walk-il-tdmpc-M0-1 - eval/episode_reward+quadruped-walk__MAX","Group: quadruped-walk-il-tdmpc - eval/episode_reward+quadruped-walk","Group: quadruped-walk-il-tdmpc - eval/episode_reward+quadruped-walk__MIN","Group: quadruped-walk-il-tdmpc - eval/episode_reward+quadruped-walk__MAX","Group: quadruped-walk-il-fac-N12-n20 - eval/episode_reward+quadruped-walk","Group: quadruped-walk-il-fac-N12-n20 - eval/episode_reward+quadruped-walk__MIN","Group: quadruped-walk-il-fac-N12-n20 - eval/episode_reward+quadruped-walk__MAX"
"0","80.65647252400716","40.38991165161133","106.9996109008789","33.58052062988281","16.694087982177734","58.35601806640625","36.00513458251953","18.398435592651367","62.684906005859375","105.22673797607422","93.06420135498047","127.1915054321289"
"50000","806.5992635091146","780.6852416992188","853.6744995117188","333.63194783528644","282.0967102050781","372.55621337890625","942.8347371419271","936.8429565429688","945.9656372070312","924.6868286132812","914.9241943359375","940.9110107421875"
"100000","836.3737386067709","762.9168090820312","947.0426025390625","586.5641479492188","375.51715087890625","795.7099609375","934.3099365234375","914.3689575195312","944.4255981445312","927.9981282552084","919.8034057617188","935.5578002929688"
"150000","627.9454600016276","104.97175598144531","930.27734375","780.1426595052084","741.3431396484375","814.32080078125","956.9732869466146","953.7711181640625","960.8064575195312","939.5821736653646","933.33544921875","947.9810791015625"
"200000","352.33974202473956","192.609130859375","657.9279174804688","718.1566569010416","604.3175659179688","786.5745849609375","960.0862833658854","952.4425048828125","971.0870361328125","936.6019490559896","930.4466552734375","946.2000122070312"
"250000","470.81284586588544","105.40899658203125","945.9362182617188","708.9699910481771","541.7664794921875","891.76171875","955.0509440104166","941.26171875","965.2498779296875","944.9502563476562","920.900390625","957.8820190429688"
"300000","523.5484670003256","154.4481964111328","758.33642578125","823.7340494791666","719.6134643554688","879.7003784179688","938.1867268880209","920.6939697265625","952.13037109375","930.3302408854166","917.109375","940.265625"
"350000","389.9895833333333","161.07083129882812","577.0523681640625","840.5646769205729","791.4400634765625","882.9171752929688","956.0286254882812","949.3302612304688","964.6007080078125","934.4260864257812","927.4508056640625","942.4215087890625"
"400000","603.1004765828451","107.47403717041016","932.1143798828125","792.1901041666666","747.5640869140625","821.9762573242188","945.8398030598959","942.5662841796875","951.8192138671875","937.8273111979166","924.2236328125","948.6297607421875"
"450000","556.293955485026","154.59133911132812","948.4283447265625","828.4204305013021","791.8709716796875","899.5540161132812","950.7352701822916","939.5079956054688","956.6258544921875","932.3578491210938","926.48583984375","940.3937377929688"
"500000","463.85520426432294","152.76202392578125","723.2140502929688","860.17919921875","831.3772583007812","898.7899169921875","953.7175903320312","950.6893310546875","959.2503662109375","942.4926350911459","928.4049682617188","951.1609497070312"
