"Step","Group: reacher-three-easy-il-tdmpc-M0-1 - eval/episode_reward+reacher-three-easy","Group: reacher-three-easy-il-tdmpc-M0-1 - eval/episode_reward+reacher-three-easy__MIN","Group: reacher-three-easy-il-tdmpc-M0-1 - eval/episode_reward+reacher-three-easy__MAX","Group: reacher-three-easy-il-tdmpc - eval/episode_reward+reacher-three-easy","Group: reacher-three-easy-il-tdmpc - eval/episode_reward+reacher-three-easy__MIN","Group: reacher-three-easy-il-tdmpc - eval/episode_reward+reacher-three-easy__MAX","Group: reacher-three-easy-il-tap - eval/episode_reward+reacher-three-easy","Group: reacher-three-easy-il-tap - eval/episode_reward+reacher-three-easy__MIN","Group: reacher-three-easy-il-tap - eval/episode_reward+reacher-three-easy__MAX","Group: reacher-three-easy-il-fac-N3 - eval/episode_reward+reacher-three-easy","Group: reacher-three-easy-il-fac-N3 - eval/episode_reward+reacher-three-easy__MIN","Group: reacher-three-easy-il-fac-N3 - eval/episode_reward+reacher-three-easy__MAX"
"0","95.16666666666667","77","108.80000305175781","134.16666666666666","96.5","163.5","116.26666259765625","35.5","181.39999389648438","112.66666920979817","90.0999984741211","139.60000610351562"
"50000","945.9333292643229","880.5","982.2999877929688","970.8666585286459","954.0999755859375","980.4000244140625","640.5333251953125","497.29998779296875","824.2999877929688","944.4666544596354","876.5","979.5999755859375"
"100000","977.2666625976562","973.5999755859375","981","980.9666748046875","976.7000122070312","983.7000122070312","891.7000122070312","847.2999877929688","957.9000244140625","983.7333374023438","981.0999755859375","986.4000244140625"
"150000","979.433349609375","978.2000122070312","980.9000244140625","977.6999918619791","969.5999755859375","984.5999755859375","849.5333455403646","740.9000244140625","934.4000244140625","980.4333089192709","979.0999755859375","982.0999755859375"
"200000","981.5999959309896","977.2000122070312","984.2999877929688","981","979.9000244140625","983.0999755859375","863.5666707356771","775.2999877929688","956.7000122070312","951.3000081380209","885.4000244140625","985.2000122070312"
"250000","978.3999837239584","976.5999755859375","981","979.1000162760416","977.4000244140625","980.4000244140625","920.5999959309896","890.0999755859375","968.9000244140625","946.4999796549479","881.2999877929688","982.0999755859375"
"300000","959.8666788736979","924.2000122070312","978.5","981.2999877929688","977.0999755859375","985.2000122070312","951.2333374023438","893","985.4000244140625","980.9333292643229","974.9000244140625","986.5999755859375"
"350000","946","882.2000122070312","979.7000122070312","980.4000040690104","977.4000244140625","983.2000122070312","980.1333414713541","979.4000244140625","980.7000122070312","977.7000122070312","975.5","980.2000122070312"
"400000","982.5","979.2000122070312","984.5","970.2666625976562","949.2000122070312","981.7999877929688","979.4000040690104","978.0999755859375","981.4000244140625","979.3000081380209","977.5","981.4000244140625"
"450000","949.4333292643229","885.5999755859375","981.4000244140625","980.9000040690104","978.4000244140625","983.2000122070312","942.7333170572916","881.0999755859375","976.5","981.6333211263021","979","984.0999755859375"
"500000","979.6666463216146","976.2999877929688","983.0999755859375","943","885.5","981.0999755859375","976.5666910807291","975.9000244140625","977.4000244140625","978.3999837239584","972.7999877929688","984.2999877929688"
