"Step","Group: reacher-three-hard-il-fac-N3 - eval/episode_reward+reacher-three-hard","Group: reacher-three-hard-il-fac-N3 - eval/episode_reward+reacher-three-hard__MIN","Group: reacher-three-hard-il-fac-N3 - eval/episode_reward+reacher-three-hard__MAX","Group: reacher-three-hard-il-tdmpc-M0-1 - eval/episode_reward+reacher-three-hard","Group: reacher-three-hard-il-tdmpc-M0-1 - eval/episode_reward+reacher-three-hard__MIN","Group: reacher-three-hard-il-tdmpc-M0-1 - eval/episode_reward+reacher-three-hard__MAX","Group: reacher-three-hard-il-tdmpc - eval/episode_reward+reacher-three-hard","Group: reacher-three-hard-il-tdmpc - eval/episode_reward+reacher-three-hard__MIN","Group: reacher-three-hard-il-tdmpc - eval/episode_reward+reacher-three-hard__MAX","Group: reacher-three-hard-il-tap - eval/episode_reward+reacher-three-hard","Group: reacher-three-hard-il-tap - eval/episode_reward+reacher-three-hard__MIN","Group: reacher-three-hard-il-tap - eval/episode_reward+reacher-three-hard__MAX"
"0","22.866666158040363","12.100000381469727","33.599998474121094","34.833333333333336","0","88","36.93333307902018","33.79999923706055","39.099998474121094","10.300000031789144","0","24"
"50000","745.1666666666666","680","873","838.8000081380209","778.2999877929688","869.9000244140625","746.7999877929688","487.29998779296875","976.2999877929688","840.4333292643229","680.4000244140625","971.0999755859375"
"100000","836.0666707356771","667.4000244140625","970.2000122070312","707.4666748046875","571.9000244140625","871.4000244140625","802.2666625976562","750.0999755859375","877.4000244140625","774.2000020345052","485.1000061035156","965.9000244140625"
"150000","843.3000081380209","682.5","970.5","840.5000203450521","677.9000244140625","975.4000244140625","776.7666829427084","682.9000244140625","873.2000122070312","808.4666748046875","777.5","868.5"
"200000","742.7999877929688","673.5","874.5999755859375","742.5999959309896","584.2999877929688","867.7999877929688","708.5666707356771","676.2000122070312","773.2000122070312","681.3000081380209","480.70001220703125","881.5"
"250000","736.9000142415365","391.1000061035156","964.4000244140625","780.5999959309896","779.5","782.7000122070312","841.5","778","874.9000244140625","809.4333292643229","772.9000244140625","877.0999755859375"
"300000","649.8333435058594","389.8999938964844","974.2000122070312","769.8333333333334","674","873.5999755859375","839.9333292643229","775.4000244140625","873.5999755859375","875.9333292643229","775.2000122070312","975.0999755859375"
"350000","843.9666544596354","777.5999755859375","879.5999755859375","776.2666625976562","676.7000122070312","971.2999877929688","842.4333292643229","777.2999877929688","875.7999877929688","772.9000040690104","677.5999755859375","866.7000122070312"
"400000","774.3333536783854","579.2000122070312","873.9000244140625","779.6999918619791","774.7000122070312","782.7999877929688","783.8333333333334","677.0999755859375","968","876.1000162760416","872.9000244140625","879.5"
"450000","776.7666625976562","679.5","875.7999877929688","841","678.5","965","808.0333251953125","774.0999755859375","873.5999755859375","807.7666625976562","773","873"
"500000","840.4666748046875","779.9000244140625","961.2999877929688","835.6666870117188","765.4000244140625","969.2000122070312","840.6333414713541","678.5","967.5","874.4666544596354","678.2999877929688","977.5"
