"Step","Group: walker-run-il-tdmpc-M0-1 - eval/episode_reward+walker-run","Group: walker-run-il-tdmpc-M0-1 - eval/episode_reward+walker-run__MIN","Group: walker-run-il-tdmpc-M0-1 - eval/episode_reward+walker-run__MAX","Group: walker-run-il-tap - eval/episode_reward+walker-run","Group: walker-run-il-tap - eval/episode_reward+walker-run__MIN","Group: walker-run-il-tap - eval/episode_reward+walker-run__MAX","Group: walker-run-il-tdmpc - eval/episode_reward+walker-run","Group: walker-run-il-tdmpc - eval/episode_reward+walker-run__MIN","Group: walker-run-il-tdmpc - eval/episode_reward+walker-run__MAX","Group: walker-run-il-fac-N6-n20 - eval/episode_reward+walker-run","Group: walker-run-il-fac-N6-n20 - eval/episode_reward+walker-run__MIN","Group: walker-run-il-fac-N6-n20 - eval/episode_reward+walker-run__MAX"
"0","21.9237543741862","21.212879180908203","22.85599136352539","20.79371992746989","15.529345512390137","24.28103256225586","22.12768491109212","20.032520294189453","25.372783660888672","23.646960576375324","20.92037582397461","26.43406105041504"
"50000","395.39207967122394","184.13204956054688","529.33984375","406.1988525390625","337.2626037597656","440.69830322265625","787.4182739257812","729.6817626953125","823.22802734375","793.1417643229166","784.8670654296875","799.160400390625"
"100000","557.6194458007812","544.0914306640625","571.1412963867188","576.4019470214844","396.1071472167969","717.5084838867188","825.9471638997396","821.73583984375","828.9620971679688","801.2683715820312","798.518798828125","803.7979125976562"
"150000","724.4141642252604","619.1477661132812","802.5841674804688","641.7597859700521","634.4005126953125","648.7555541992188","830.2625732421875","827.5177001953125","831.966796875","808.9079996744791","806.041259765625","813.3914184570312"
"200000","713.6108805338541","668.1917724609375","758.2314453125","613.0192667643229","564.115478515625","639.2630004882812","829.8781941731771","826.8532104492188","835.81884765625","806.5586547851562","800.9732055664062","809.9185791015625"
"250000","524.5373026529948","376.8611755371094","700.3660278320312","561.4605814615885","404.8888244628906","717.3992919921875","833.0204264322916","829.5076904296875","836.1813354492188","813.8262736002604","810.4612426757812","816.7877197265625"
"300000","584.736572265625","329.445556640625","740.3001098632812","540.1990661621094","485.5989685058594","570.9718627929688","834.564453125","830.900390625","840.9820556640625","808.6995442708334","803.2957763671875","815.8453369140625"
"350000","432.96986897786456","264.32843017578125","650.932861328125","612.8185221354166","557.6688842773438","644.3999633789062","833.5134684244791","830.76318359375","835.8079833984375","811.2164713541666","807.159912109375","815.773681640625"
"400000","538.2640889485677","337.6225891113281","652.9264526367188","610.2679850260416","490.65924072265625","709.8941650390625","835.7249755859375","835.1563720703125","836.77685546875","817.3637288411459","810.2728271484375","821.6268310546875"
"450000","618.2508646647135","486.0435485839844","792.1024780273438","711.5042317708334","557.0857543945312","790.4365844726562","835.4480387369791","833.9588623046875","837.8203125","814.8546549479166","806.0065307617188","820.6640625"
"500000","696.6589152018229","559.1790771484375","793.7407836914062","559.5715535481771","407.65252685546875","717.8148803710938","836.4684244791666","835.6453247070312","837.8885498046875","808.7090454101562","805.2545776367188","813.6451416015625"
