"Step","Group: walker-walk-il-tap - eval/episode_reward+walker-walk","Group: walker-walk-il-tap - eval/episode_reward+walker-walk__MIN","Group: walker-walk-il-tap - eval/episode_reward+walker-walk__MAX","Group: walker-walk-il-tdmpc-M0-1 - eval/episode_reward+walker-walk","Group: walker-walk-il-tdmpc-M0-1 - eval/episode_reward+walker-walk__MIN","Group: walker-walk-il-tdmpc-M0-1 - eval/episode_reward+walker-walk__MAX","Group: walker-walk-il-tdmpc - eval/episode_reward+walker-walk","Group: walker-walk-il-tdmpc - eval/episode_reward+walker-walk__MIN","Group: walker-walk-il-tdmpc - eval/episode_reward+walker-walk__MAX","Group: walker-walk-il-fac-N6 - eval/episode_reward+walker-walk","Group: walker-walk-il-fac-N6 - eval/episode_reward+walker-walk__MIN","Group: walker-walk-il-fac-N6 - eval/episode_reward+walker-walk__MAX"
"0","24.15724245707194","21.34324836730957","26.12318992614746","25.28093973795573","22.908132553100586","26.646493911743164","23.847144444783527","21.47315216064453","26.745319366455078","23.8669859568278","21.911035537719727","25.394515991210938"
"50000","756.5185546875","605.7354736328125","881.2823486328125","900.4090169270834","859.7921752929688","926.05126953125","979.1585693359375","976.66650390625","982.39013671875","956.4056193033854","943.1945190429688","965.724609375"
"100000","874.77783203125","870.50732421875","882.9652099609375","953.7819010416666","949.4358520507812","960.8182373046875","976.8739013671875","975.8409423828125","978.3292236328125","966.3439127604166","959.31787109375","972.28173828125"
"150000","750.7893473307291","697.8339233398438","780.2919311523438","920.5609537760416","865.7423706054688","962.1920776367188","980.050537109375","975.8297119140625","985.54248046875","957.2769775390625","940.7360229492188","969.8426513671875"
"200000","815.0462443033854","680.3592529296875","975.4435424804688","905.0703735351562","837.1852416992188","941.7449340820312","977.5624389648438","973.9752197265625","980.7501831054688","968.9696248372396","962.0125122070312","973.2589721679688"
"250000","569.8765665690104","526.5220947265625","600.5326538085938","931.9765421549479","894.0804443359375","963.4821166992188","980.7474161783854","978.9983520507812","983.1517333984375","963.7012939453125","960.1094970703125","970.6051025390625"
"300000","752.5665690104166","599.0654296875","880.0823974609375","947.5855712890625","923.3001708984375","963.7210083007812","976.8412882486979","973.0656127929688","981.7464599609375","949.2753499348959","930.55859375","969.1393432617188"
"350000","774.9283040364584","695.9322509765625","865.4420166015625","935.9739379882812","866.0833129882812","973.6475830078125","982.8677571614584","977.9146728515625","985.462890625","957.7018636067709","947.1202392578125","971.0494384765625"
"400000","786.072499593099","498.6775817871094","968.51708984375","947.1373901367188","941.52685546875","956.3138427734375","980.8509521484375","979.4837036132812","983.4710083007812","937.4659220377604","903.6095581054688","962.4010009765625"
"450000","812.3709309895834","779.7811279296875","868.8941650390625","945.4212646484375","929.4890747070312","970.5203247070312","979.2795613606771","978.83935546875","979.8772583007812","973.6128336588541","969.8948974609375","980.6063232421875"
"500000","844.7101643880209","778.3519897460938","880.0673828125","971.7012939453125","945.0115966796875","986.0011596679688","979.5370483398438","976.64697265625","982.9249877929688","967.3957722981771","952.8682861328125","981.2272338867188"
